,State,District,Crop,Area (Hectare),TotalDistrictArea,TopTwoCropArea,TopTwoCropAreaPercent
238,Madhya Pradesh, GUNA,Soyabean,212013.0,246414.0,229256.0,0.9303692160348033
239,Madhya Pradesh, GUNA,Maize,17243.0,246414.0,229256.0,0.9303692160348033
240,Madhya Pradesh, GWALIOR,Rice,24474.0,72213.0,45529.0,0.6304820461689723
241,Madhya Pradesh, GWALIOR,Sesamum,21055.0,72213.0,45529.0,0.6304820461689723
242,Madhya Pradesh, HARDA,Soyabean,171507.0,174065.0,172083.0,0.9886134489989372
243,Madhya Pradesh, HARDA,Arhar/Tur,576.0,174065.0,172083.0,0.9886134489989372
244,Madhya Pradesh, HOSHANGABAD,Soyabean,216702.0,256892.0,240421.0,0.9358835619637824
245,Madhya Pradesh, HOSHANGABAD,Rice,23719.0,256892.0,240421.0,0.9358835619637824
246,Madhya Pradesh, INDORE,Soyabean,223079.0,255543.0,244987.0,0.9586918835577574
247,Madhya Pradesh, INDORE,Potato,21908.0,255543.0,244987.0,0.9586918835577574
248,Madhya Pradesh, JABALPUR,Rice,67596.0,137100.0,87346.0,0.6370970094821299
249,Madhya Pradesh, JABALPUR,Arhar/Tur,19750.0,137100.0,87346.0,0.6370970094821299
250,Madhya Pradesh, JHABUA,Maize,67317.0,151744.0,114611.0,0.7552918072543231
251,Madhya Pradesh, JHABUA,Soyabean,47294.0,151744.0,114611.0,0.7552918072543231
252,Madhya Pradesh, KATNI,Rice,83507.0,116166.0,95588.0,0.8228569460943822
253,Madhya Pradesh, KATNI,Arhar/Tur,12081.0,116166.0,95588.0,0.8228569460943822
254,Madhya Pradesh, KHANDWA,Soyabean,165380.0,220579.0,183409.0,0.8314889450038309
255,Madhya Pradesh, KHANDWA,Jowar,18029.0,220579.0,183409.0,0.8314889450038309
256,Madhya Pradesh, KHARGONE,Jowar,55929.0,183877.0,99599.0,0.5416610016478407
257,Madhya Pradesh, KHARGONE,Soyabean,43670.0,183877.0,99599.0,0.5416610016478407
258,Madhya Pradesh, MANDLA,Rice,112720.0,189045.0,149529.0,0.7909704038720939
259,Madhya Pradesh, MANDLA,Small millets,36809.0,189045.0,149529.0,0.7909704038720939
260,Madhya Pradesh, MANDSAUR,Soyabean,261474.0,319852.0,298706.0,0.9338881732801421
261,Madhya Pradesh, MANDSAUR,Maize,37232.0,319852.0,298706.0,0.9338881732801421
262,Madhya Pradesh, MORENA,Bajra,96464.0,118861.0,110086.0,0.9261742707868855
263,Madhya Pradesh, MORENA,Arhar/Tur,13622.0,118861.0,110086.0,0.9261742707868855
264,Madhya Pradesh, NARSINGHPUR,Soyabean,70949.0,177231.0,132557.0,0.7479334879338265
265,Madhya Pradesh, NARSINGHPUR,Arhar/Tur,61608.0,177231.0,132557.0,0.7479334879338265
266,Madhya Pradesh, NEEMUCH,Soyabean,119787.0,160755.0,149479.0,0.9298559920375727
267,Madhya Pradesh, NEEMUCH,Maize,29692.0,160755.0,149479.0,0.9298559920375727
268,Madhya Pradesh, PANNA,Rice,53696.0,130187.0,82231.0,0.6316375674990591
269,Madhya Pradesh, PANNA,Sesamum,28535.0,130187.0,82231.0,0.6316375674990591
270,Madhya Pradesh, RAISEN,Soyabean,143921.0,232543.0,197114.0,0.8476453817143496
271,Madhya Pradesh, RAISEN,Arhar/Tur,53193.0,232543.0,197114.0,0.8476453817143496
272,Madhya Pradesh, RAJGARH,Soyabean,298955.0,389290.0,352617.0,0.9057951655578104
273,Madhya Pradesh, RAJGARH,Maize,53662.0,389290.0,352617.0,0.9057951655578104
274,Madhya Pradesh, RATLAM,Soyabean,210734.0,274471.0,263454.0,0.9598609689183921
275,Madhya Pradesh, RATLAM,Maize,52720.0,274471.0,263454.0,0.9598609689183921
276,Madhya Pradesh, REWA,Rice,102073.0,227153.0,155636.0,0.6851593419413347
277,Madhya Pradesh, REWA,Arhar/Tur,53563.0,227153.0,155636.0,0.6851593419413347
278,Madhya Pradesh, SAGAR,Soyabean,303594.0,359202.0,330126.0,0.919053902817913
279,Madhya Pradesh, SAGAR,Urad,26532.0,359202.0,330126.0,0.919053902817913
280,Madhya Pradesh, SATNA,Rice,71699.0,202371.0,118887.0,0.5874705367863973
281,Madhya Pradesh, SATNA,Arhar/Tur,47188.0,202371.0,118887.0,0.5874705367863973
282,Madhya Pradesh, SEHORE,Soyabean,283858.0,322385.0,298940.0,0.9272763931324348
283,Madhya Pradesh, SEHORE,Maize,15082.0,322385.0,298940.0,0.9272763931324348
